id,created_at,text
1762573917682888970,2024-02-27T20:22:23.000Z,Static fire test of our next @NASA astronaut flight https://t.co/H3jF8dDrf7
1762567210172911863,2024-02-27T19:55:44.000Z,"Indeed, our whole civilization is at stake https://t.co/ZDq3L6DkDE"
1762567006816292983,2024-02-27T19:54:55.000Z,@JohnnaCrider1 What is Alex Jones complaining about?
1762566755485159640,2024-02-27T19:53:56.000Z,@unlimited_ls Whoa
1762566567542607910,2024-02-27T19:53:11.000Z,@MikeBenzCyber !!
1762554714686898499,2024-02-27T19:06:05.000Z,🫡 🚬 https://t.co/f5wn0y95gx
1762554173357470004,2024-02-27T19:03:56.000Z,@stillgray Fire Peskin
1762554090008322212,2024-02-27T19:03:36.000Z,RT @cb_doge: The media is a propaganda machine dressed up as a truth-seeking machine. https://t.co/xIaXBZ19Y3
1762553944373686721,2024-02-27T19:03:01.000Z,@westcoastbill 😂
1762550849992278111,2024-02-27T18:50:43.000Z,@RichardHanania !
1762550293429203310,2024-02-27T18:48:31.000Z,@CollinRugg Morale and recruitment suffer when merit stops being what matters most
1762549965598130534,2024-02-27T18:47:13.000Z,"RT @GOPoversight: 🧵THREAD: Evidence of Joe Biden’s involvement in the Biden family “business.”

Our investigation is centered on Joe Biden’…"
1762549835406909781,2024-02-27T18:46:42.000Z,@TexasLindsay_ I’m not surprised to hear that. Media Matters is evil to its core.
1762549350457283033,2024-02-27T18:44:46.000Z,@teslaownersSV The larger point here is that I obviously don’t control @CommunityNotes!
1762548055730192504,2024-02-27T18:39:37.000Z,Google Gemini is super racist &amp; sexist! https://t.co/hSrS5mcl3G
1762547414861549754,2024-02-27T18:37:04.000Z,@Not_the_Bee 😐
1762547164407079239,2024-02-27T18:36:05.000Z,@imPenny2x This will become exponentially bad
1762544730288824792,2024-02-27T18:26:24.000Z,"The ability to discard your identification documents (from any country), walk across the southern border and claim “asylum” has turned America into a refuge for the world’s worst criminals! https://t.co/ENhh2abS5G"
1762543867021398523,2024-02-27T18:22:59.000Z,Well said! https://t.co/BDppEStSbB
1762543717523836947,2024-02-27T18:22:23.000Z,RT @shaunmmaguire: Wokeism is illiberalism masquerading as liberalism
1762543649886462291,2024-02-27T18:22:07.000Z,In case you think the flood of illegals is only affecting big cities … https://t.co/7xjBgSJgz5
1762542619731927078,2024-02-27T18:18:01.000Z,"@MikeBenzCyber This is my gripe against Hunter. He can do what he wants on his own time, so long as he isn’t causing harm to others – this doesn’t constitute an issue of significance to the nation.

However  participating in corruption that impugns the reputation of the United States is a… https://t.co/cy5dh9NeA6"
1762525641428320646,2024-02-27T17:10:33.000Z,@TheBabylonBee 😂
1762525312645243095,2024-02-27T17:09:15.000Z,Disturbing https://t.co/9MchlbMuOr
1762523976524615895,2024-02-27T17:03:56.000Z,@eldsjal Cool
1762521849576206523,2024-02-27T16:55:29.000Z,"@nypost My guess is that average meal costs at Wendy’s decrease, while nonetheless improving operating margin for the company. 

Maybe I’m wrong, but let’s see what happens."
1762520484825243784,2024-02-27T16:50:04.000Z,"RT @cb_doge: Verified Organizations Full Access subscribers receive a $1,000 ads credit to spend on advertising on X per month or $10,000 p…"
1762520286895931602,2024-02-27T16:49:17.000Z,Now over a million job postings on 𝕏! https://t.co/9N8eAsWmq4
1762519891851231323,2024-02-27T16:47:42.000Z,@GavinSBaker Many days have passed since the debut of Google’s insanely racist and sexist Gemini product debut and yet not one person has been fired. Not one.
1762519243051131247,2024-02-27T16:45:08.000Z,@dogeofficialceo Just a scratch
1762514778646606081,2024-02-27T16:27:23.000Z,"@SystemUpdate_ I’m not someone who is against the CIA (I have a lot of CIA merch), but the NYT piece is obviously a CIA press release for the noobs out there 😂

At the end of the day, the CIA’s job is to support the policies of the US government, which they do quite well. 

If you want… https://t.co/q9kk4wVuTv"
1762507538699026567,2024-02-27T15:58:37.000Z,@emissionite Yeah!
1762507189464522826,2024-02-27T15:57:14.000Z,RT @Tesla: We love you guys too
1762506388402819291,2024-02-27T15:54:03.000Z,@CollinRugg 🧐
1762506117987664121,2024-02-27T15:52:58.000Z,"@nypost Seems like a good idea. Costs are fairly constant, but demand varies. 

Lower cost meals available off hours makes sense."
1762505639157461177,2024-02-27T15:51:04.000Z,@Not_the_Bee The FBI is implying that there is a crime wave by wealthy white sorority girls? 🤣
1762502940961722677,2024-02-27T15:40:21.000Z,"@stclairashley Anyone, even a literal serial killer, can toss away the ID they used to get into Mexico from anywhere in the world, then claim asylum, say they have no documents and be ushered into America.

This is happening every day."
1762500636787212320,2024-02-27T15:31:12.000Z,Tesla Model Y receives highest possible safety rating https://t.co/6LDqVU3Qi4
1762500319194583098,2024-02-27T15:29:56.000Z,"While this is an important political contest in Travis County, there such contests throughout the world. 

Wherever you can, vote for a brighter future! https://t.co/Zb65r21CHw"
1762495219894006128,2024-02-27T15:09:40.000Z,@MarieIsabellaB @WallStreetSilv Hmm
1762494732599726585,2024-02-27T15:07:44.000Z,@EvaFoxU 😂
1762392782810083746,2024-02-27T08:22:37.000Z,https://t.co/UcA01AXCuZ
1762392496364208429,2024-02-27T08:21:29.000Z,@zerohedge !
1762389336858022132,2024-02-27T08:08:56.000Z,@rpoo Life and the Universe
1762370626260726249,2024-02-27T06:54:35.000Z,@waitbutwhy Interesting
1762369274050728080,2024-02-27T06:49:12.000Z,@cb_doge 😂
1762361696268718427,2024-02-27T06:19:06.000Z,@GadSaad 😂
1762359124699025875,2024-02-27T06:08:53.000Z,RT @Tesla: Tesla manufacturing is building the machine that builds the machine https://t.co/EwiKHWKdlF
1762351011698737223,2024-02-27T05:36:38.000Z,@SawyerMerritt Ok
1762347094114021615,2024-02-27T05:21:04.000Z,@stevenmarkryan !!
1762298803028135941,2024-02-27T02:09:11.000Z,@RepThomasMassie 😂
1762298697528775098,2024-02-27T02:08:46.000Z,"San Francisco, this is your moment to act. Save the city! https://t.co/yV2tfKOHbw"
1762298094820139011,2024-02-27T02:06:22.000Z,@alx 😂
1762298003044593908,2024-02-27T02:06:00.000Z,@BillMelugin_ Finally
1762297161268760731,2024-02-27T02:02:39.000Z,"@growing_daniel The fundamental axiomatic flaw of the woke mind virus is that the weaker party is always right (even if they want you to die).

For most of history, the operating principle was that might makes right.

As we became more civilized, we started to consider right in the absolute.… https://t.co/MsHIbp0ULp"
1762293293218738542,2024-02-27T01:47:17.000Z,@alx They “finger snap” to show disapproval? 🤣
1762292216599658703,2024-02-27T01:43:00.000Z,@stclairashley Yup
1762266701947944967,2024-02-27T00:01:37.000Z,@EndWokeness Wow
1762266651062636986,2024-02-27T00:01:25.000Z,@alx 💯
1762266534679044311,2024-02-27T00:00:57.000Z,@shaunmmaguire Not far wrong
1762266049490370777,2024-02-26T23:59:02.000Z,@fadde @BillAckman @Harvard True
1762265653153857895,2024-02-26T23:57:27.000Z,"@shaunmmaguire Yeah, they will have a much harder time shooting down satellites"
1762265469195886878,2024-02-26T23:56:43.000Z,😂 https://t.co/DOaUkOTYGC
1762246769843605564,2024-02-26T22:42:25.000Z,"RT @SpaceX: The second flight test of Starship and Super Heavy achieved a number of important milestones, with lessons learned that informe…"
1762246625404256756,2024-02-26T22:41:51.000Z,@waitbutwhy 💯
1762243250453377161,2024-02-26T22:28:26.000Z,@fentasyl !!
1762238217032712508,2024-02-26T22:08:26.000Z,"@waitbutwhy Gemini hates white people next-level! Ironically, it was programmed to do so primarily by white people 😂"
1762237902879367583,2024-02-26T22:07:11.000Z,@waitbutwhy Wow
1762230897515098442,2024-02-26T21:39:21.000Z,"@mikemajlak Fine, I will get back on the meme grindstone 😂"
1762230030447599714,2024-02-26T21:35:54.000Z,@DefiantLs Defiant L’s is one of the best accounts on 𝕏 😂
1762228465485652000,2024-02-26T21:29:41.000Z,@DCnumerology @AydinCGur @rowancheung 😂
1762227783520989296,2024-02-26T21:26:58.000Z,@GailAlfarATX !!
1762224097105449388,2024-02-26T21:12:19.000Z,@AydinCGur @rowancheung 😂💯
1762223755055821129,2024-02-26T21:10:58.000Z,@aaronsibarium Wow
1762223442588483633,2024-02-26T21:09:43.000Z,DEI puts the lives of your loved ones at risk https://t.co/dV6l3MCOPd
1762223117806739859,2024-02-26T21:08:26.000Z,"Dems won’t deport, because every illegal is a highly likely vote at some point. 

That simple incentive explains what seems to be insane behavior.

It has become so brazen that a gang of illegals can beat up police officers on camera in Times Square, get out of jail for free and… https://t.co/utXuue6dT3 https://t.co/9lMpDNsAS1"
1762219959890174445,2024-02-26T20:55:53.000Z,@dogeofficialceo 😂
1762219523728683057,2024-02-26T20:54:09.000Z,"@Rob_2628 Maybe a variety of dungeons where each class has a relative strength?

It would be boring if a single build totally dominated everything."
1762219254114668572,2024-02-26T20:53:05.000Z,@Rob_2628 😂
1762217391633952953,2024-02-26T20:45:41.000Z,@SarangMahatwo @bindureddy Is Microsoft making them be closed source?
1762216859762565470,2024-02-26T20:43:34.000Z,@TheBabylonBee 😂
1762216419570401435,2024-02-26T20:41:49.000Z,"@TeslaBoomerMama There will always be critics. 

What is perhaps notable is that I don’t attempt to silence them even on a platform that I own."
1762215388325249399,2024-02-26T20:37:43.000Z,@America1stLegal Interesting
1762214481080512918,2024-02-26T20:34:07.000Z,@OscarEnjoylife @cb_doge Biggest “negative compensation” ever!
1762212597938720854,2024-02-26T20:26:38.000Z,@LinusEkenstam It’s a banger! 😂
1762210500266565915,2024-02-26T20:18:18.000Z,RT @cb_doge: Over 1 million job postings are now live on 𝕏 https://t.co/L1eJc5jDqS
1762205191364083897,2024-02-26T19:57:12.000Z,@eyeslasho 🤦‍♂️
1762204888476631508,2024-02-26T19:56:00.000Z,@Jim_Jordan !
